data_file,model_file,local_index,global_index,family
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,50,1050,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,51,1051,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,52,1052,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,53,1053,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,54,1054,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,55,1055,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,56,1056,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,57,1057,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,60,1060,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,61,1061,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,62,1062,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,63,1063,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,64,1064,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,65,1065,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,66,1066,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,67,1067,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,68,1068,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,70,1070,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,73,1073,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,74,1074,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,76,1076,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,78,1078,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,79,1079,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,80,1080,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,83,1083,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,84,1084,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,85,1085,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,86,1086,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,88,1088,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,89,1089,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,94,1094,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,95,1095,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,98,1098,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,100,1100,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,102,1102,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,103,1103,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,104,1104,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,105,1105,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,106,1106,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,108,1108,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,109,1109,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,113,1113,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,116,1116,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,117,1117,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,118,1118,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,126,1126,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,127,1127,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,128,1128,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,131,1131,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,134,1134,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,136,1136,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,138,1138,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,140,1140,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,142,1142,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,144,1144,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,145,1145,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,147,1147,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,148,1148,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,150,1150,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,151,1151,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,156,1156,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,158,1158,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,160,1160,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,161,1161,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,162,1162,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,163,1163,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,166,1166,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,167,1167,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,170,1170,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,172,1172,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,173,1173,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,175,1175,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,176,1176,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,177,1177,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,179,1179,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,180,1180,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,182,1182,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,183,1183,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,189,1189,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,192,1192,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,193,1193,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,196,1196,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,197,1197,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,198,1198,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,200,1200,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,201,1201,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,202,1202,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,203,1203,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,208,1208,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,210,1210,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,211,1211,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,213,1213,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,217,1217,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,218,1218,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,219,1219,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,221,1221,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,222,1222,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,226,1226,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,227,1227,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,228,1228,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,229,1229,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,230,1230,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,237,1237,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,240,1240,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,246,1246,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,247,1247,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,248,1248,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,250,1250,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,252,1252,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,253,1253,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,258,1258,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,260,1260,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,262,1262,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,263,1263,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,264,1264,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,271,1271,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,272,1272,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,275,1275,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,278,1278,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,279,1279,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,281,1281,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,282,1282,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,284,1284,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,285,1285,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,286,1286,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,290,1290,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,292,1292,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,295,1295,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,297,1297,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,299,1299,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,300,1300,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,303,1303,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,304,1304,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,305,1305,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,307,1307,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,308,1308,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,311,1311,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,312,1312,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,313,1313,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,314,1314,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,315,1315,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,316,1316,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,318,1318,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,319,1319,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,320,1320,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,324,1324,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,326,1326,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,327,1327,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,329,1329,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,330,1330,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,332,1332,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,333,1333,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,334,1334,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,335,1335,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,336,1336,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,337,1337,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,340,1340,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,341,1341,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,343,1343,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,345,1345,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,346,1346,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,347,1347,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,348,1348,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,349,1349,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,350,1350,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,351,1351,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,352,1352,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,353,1353,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,354,1354,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,360,1360,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,361,1361,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,365,1365,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,368,1368,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,371,1371,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,372,1372,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,373,1373,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,380,1380,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,382,1382,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,384,1384,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,385,1385,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,386,1386,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,387,1387,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,389,1389,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,390,1390,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,391,1391,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,392,1392,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,393,1393,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,394,1394,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,395,1395,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,396,1396,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,397,1397,FlatVel_A
D:\data\openfwi\FlatVel_A\data\data1.npy,D:\data\openfwi\FlatVel_A\model\model1.npy,399,1399,FlatVel_A
